Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_001_TestListener,Chrome 121.0.0.0,,,04-02-2024 17:00:19,04-02-2024 17:00:51,31.869s,PASSED
,,,,,,,
Test Cases/Amazon_Login_001/TC_Amazon_Login_001,Chrome 121.0.0.0,,,04-02-2024 17:00:20,04-02-2024 17:00:51,30.947s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,04-02-2024 17:00:20,04-02-2024 17:00:25,5.069s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,04-02-2024 17:00:26,04-02-2024 17:00:27,1.883s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,04-02-2024 17:00:27,04-02-2024 17:00:29,1.220s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,04-02-2024 17:00:29,04-02-2024 17:00:45,16.509s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 121.0.0.0,,,04-02-2024 17:00:45,04-02-2024 17:00:47,1.720s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,04-02-2024 17:00:47,04-02-2024 17:00:48,1.309s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 121.0.0.0,,,04-02-2024 17:00:48,04-02-2024 17:00:50,1.425s,PASSED
"click(findTestObject(""Amazon_Button_OR/Page_Amazon Sign In/span_Sign in""))",Chrome 121.0.0.0,,,04-02-2024 17:00:50,04-02-2024 17:00:50,0.497s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,04-02-2024 17:00:50,04-02-2024 17:00:51,0.546s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 17:00:51,04-02-2024 17:00:51,0.019s,PASSED
